CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,AgeGroup,HighBalance,BalanceProductInteraction,Geography_France,Geography_Germany,Geography_Spain
716,0,51,0,1416.5791842574918,2,0,0,55197.12910587271,2,0,2833.1583685149835,True,False,False
630,1,70,4,218262.20602568256,2,1,0,160170.05874467382,3,1,436524.4120513651,True,False,False
616,0,49,5,56921.97266147511,1,0,1,28942.072801098537,1,1,56921.97266147511,True,False,False
580,1,52,10,66117.69230525731,2,0,0,63912.222872766215,2,1,132235.38461051462,True,False,False
731,0,30,2,14183.824620617384,3,0,1,59565.891319850016,4,0,42551.47386185215,False,True,False
574,0,62,0,17092.906483134717,2,1,1,117829.64632561586,3,0,34185.812966269434,False,True,False
628,0,36,7,46379.26757944834,2,1,1,150105.07313571603,0,0,92758.53515889667,False,True,False
664,1,31,7,102789.77842162788,3,0,1,173353.8261818201,0,1,308369.33526488364,True,False,False
663,0,51,10,31125.08658052028,2,0,1,189444.25181758232,2,0,62250.17316104056,False,False,True
483,0,31,4,250000.0,2,0,0,183329.2882186198,0,1,500000.0,False,True,False
695,0,28,6,175445.77028464133,2,1,1,121082.312062418,4,1,350891.54056928266,False,False,True
840,0,44,0,83577.15872172787,2,0,0,166272.1878357824,1,1,167154.31744345574,True,False,False
654,0,38,5,15801.474289229764,2,0,0,181047.54661576427,0,0,31602.948578459527,False,True,False
580,0,18,2,55134.6737743769,2,0,1,69422.83379873277,4,1,110269.3475487538,False,False,True
682,0,25,7,232173.78218389917,3,0,1,15806.948708913482,4,1,696521.3465516975,True,False,False
708,0,26,6,76435.85924891161,3,0,0,173959.16559185964,4,1,229307.57774673484,True,False,False
557,1,19,1,91967.6826957007,3,1,1,20482.20173966742,4,1,275903.0480871021,False,False,True
530,0,56,0,163711.13189941092,2,0,0,101471.6908472615,2,1,327422.26379882183,False,True,False
783,1,51,10,143705.3005078134,3,1,0,58805.0712729397,2,1,431115.9015234402,True,False,False
788,1,49,1,111310.41312832228,3,0,1,31081.75013305565,1,1,333931.23938496684,False,True,False
769,1,62,1,725.6307606455252,2,0,0,105816.88164558576,3,0,1451.2615212910505,True,False,False
536,0,48,0,51712.78780387165,1,1,1,177324.7998421433,1,0,51712.78780387165,False,False,True
716,0,54,6,159427.21144991362,2,1,1,61351.693694482135,2,1,318854.42289982724,False,True,False
657,0,23,1,107475.73426526676,1,0,1,162144.38531336357,4,1,107475.73426526676,False,True,False
793,0,53,1,60152.63707892018,2,0,1,152246.12230798232,2,1,120305.27415784037,False,False,True
645,0,56,1,39881.7692784225,2,0,1,22318.743514579477,2,0,79763.538556845,False,False,True
840,1,39,0,37147.49026902036,1,1,0,128733.81266207494,0,0,37147.49026902036,False,False,True
720,0,31,6,27217.013420156,2,1,1,37730.18289603789,0,0,54434.026840312,False,True,False
850,1,39,10,20582.91375004133,3,1,1,132161.48687699565,0,0,61748.74125012399,False,False,True
688,0,43,8,25215.028400189523,2,1,0,188881.78942481303,1,0,50430.05680037905,False,True,False
744,0,48,4,50203.48137199791,2,1,1,187311.04372603088,1,0,100406.96274399581,True,False,False
693,0,30,2,95618.37039418193,3,0,1,152493.65218906538,4,1,286855.1111825458,False,False,True
760,0,46,4,5208.396720969656,1,1,0,178045.58204783022,1,0,5208.396720969656,False,False,True
620,0,48,2,39901.00779229286,3,0,1,76467.25970964349,1,0,119703.02337687858,False,False,True
708,0,54,2,52427.067909813086,2,1,0,85742.4584969064,2,1,104854.13581962617,False,True,False
669,1,57,0,31571.313041329293,2,1,0,134596.85713859674,2,0,63142.626082658586,True,False,False
496,0,37,1,25497.113076513248,2,1,0,148306.64078510887,0,0,50994.226153026495,True,False,False
649,0,50,1,31652.427238860066,1,1,1,106762.9190888148,1,0,31652.427238860066,False,False,True
537,0,36,1,58232.95047993848,2,1,0,85182.08368729317,0,1,116465.90095987696,False,True,False
647,1,66,2,14800.606757300746,4,0,1,107444.48779675842,3,0,59202.42702920298,True,False,False
600,0,42,6,112725.60540673192,3,0,0,121049.60829604715,1,1,338176.81622019573,False,False,True
825,0,54,10,1440.9864597525582,2,1,1,162137.8593701428,2,0,2881.9729195051164,False,False,True
657,1,36,1,2799.206299991452,4,0,1,51486.37229568709,0,0,11196.825199965808,False,False,True
818,0,44,1,80713.9785832003,2,1,0,80919.90371534148,1,1,161427.9571664006,False,False,True
644,0,33,5,77444.41302512046,1,0,1,185945.63891539077,0,1,77444.41302512046,True,False,False
476,1,58,10,110110.2440675228,2,0,0,93635.27182477902,2,1,220220.4881350456,False,False,True
599,0,31,0,5526.91818727389,1,0,1,159678.17868091294,0,0,5526.91818727389,False,False,True
507,0,74,8,59702.73728076679,1,1,0,169414.76407498374,3,1,59702.73728076679,True,False,False
789,0,61,0,135913.46672976977,3,0,0,14735.459396692926,3,1,407740.4001893093,False,False,True
850,0,30,0,212651.8256967359,2,1,0,36581.720002673326,4,1,425303.6513934718,False,True,False
730,1,58,1,4423.49127043369,2,0,1,95581.54962668906,2,0,8846.98254086738,True,False,False
645,0,46,10,33355.392840338885,3,0,1,131740.61985822738,1,0,100066.17852101666,True,False,False
606,0,39,9,15796.086639889209,1,1,0,43919.20727159736,0,0,15796.086639889209,False,False,True
693,0,39,9,27705.73940224211,3,0,0,125701.38303273398,0,0,83117.21820672633,False,False,True
482,0,55,1,42136.86104930912,3,0,0,143934.01477918422,2,0,126410.58314792736,False,True,False
577,0,60,10,111035.2239195745,2,1,1,142834.67913425615,2,1,222070.447839149,False,False,True
559,1,60,10,22785.702954168035,2,1,0,154619.85106343232,2,0,45571.40590833607,True,False,False
695,1,68,2,77176.43369393944,3,1,0,18783.60605532136,3,1,231529.30108181832,False,False,True
503,0,70,4,147131.1019853037,2,1,0,121900.03283565734,3,1,294262.2039706074,False,True,False
631,0,48,0,12650.359163139668,4,0,0,178133.8195018915,1,0,50601.436652558674,False,False,True
581,1,26,5,3884.656102467832,4,1,1,189318.09895734096,4,0,15538.624409871329,True,False,False
764,0,47,0,250000.0,3,0,0,35958.63713220548,1,1,750000.0,False,True,False
636,0,63,0,101735.34512462032,1,1,1,94696.80280101196,3,1,101735.34512462032,True,False,False
671,0,18,0,15407.535533680277,4,0,1,195763.97948814888,4,0,61630.14213472111,False,True,False
717,0,38,10,6748.03318649304,2,1,1,112477.74698921868,0,0,13496.06637298608,True,False,False
761,0,70,10,11517.58426717047,2,0,0,198292.73142915248,3,0,23035.16853434094,False,False,True
472,0,54,1,11443.203073450468,2,1,1,23966.7025184706,2,0,22886.406146900936,False,True,False
515,1,28,0,8639.499417160685,2,1,1,191264.6088989057,4,0,17278.99883432137,False,True,False
730,1,48,0,98400.6472994397,2,0,0,46229.80942052217,1,1,196801.2945988794,True,False,False
